fileName,SimplePrecondition,ParameterConditionedPrecondition,Precondition,ExampleSetPrecondition,TableLearnerPrecondition,LearnerPrecondition,AttributeParameterPrecondition,AttributeSetPrecondition,CapabilityPrecondition,CollectionPrecondition,DistanceMeasurePrecondition,ExampleSetSizePrecondition,TableCapabilityPrecondition
AbstractExampleSetProcessing.java,1,0,0,0,0,0,0,0,0,0,0,0,0
AbstractIOTableProcessing.java,1,0,0,0,0,0,0,0,0,0,0,0,0
DataMacroDefinitionOperator.java,0,2,0,0,0,0,0,0,0,0,0,0,0
IOMultiplyOperator.java,1,0,0,0,0,0,0,0,0,0,0,0,0
IOPublishToAppOperator.java,1,0,0,0,0,0,0,0,0,0,0,0,0
IOStorageOperator.java,0,0,1,0,0,0,0,0,0,0,0,0,0
ModelApplier.java,2,0,0,0,0,0,0,0,0,0,0,0,0
ClusterToPrediction.java,0,0,0,1,0,0,0,0,0,0,0,0,0
FeatureOperator.java,2,0,0,0,0,0,0,0,0,0,0,0,0
AbstractWriter.java,1,0,0,0,0,0,0,0,0,0,0,0,0
AbstractIOTableLearner.java,0,0,0,0,1,0,0,0,0,0,0,0,0
AbstractLearner.java,0,0,0,0,0,1,0,0,0,0,0,0,0
AbstractSplitChain.java,1,0,0,0,0,0,0,0,0,0,0,0,0
ClusterIterator.java,0,0,0,1,0,0,0,0,0,0,0,0,0
ExampleSetIterator.java,1,0,0,0,0,0,0,0,0,0,0,0,0
FeatureIterator.java,1,0,0,0,0,0,0,0,0,0,0,0,0
ParameterIteratingOperatorChain.java,1,0,0,0,0,0,0,0,0,0,0,0,0
PartialExampleSetLearner.java,0,0,0,1,0,0,0,0,0,0,0,0,0
RepeatUntilOperatorChain.java,2,0,0,0,0,0,0,0,0,0,0,0,0
ValueIteration.java,0,0,0,0,0,0,1,0,0,0,0,0,0
ValueSubgroupIteration.java,0,0,0,0,0,0,0,1,0,0,0,0,0
XVPrediction.java,0,0,0,0,0,0,0,0,1,0,0,0,0
ZippedFileIterator.java,1,0,0,0,0,0,0,0,0,0,0,0,0
ExcelFormatExampleSource.java,1,0,0,0,0,0,0,0,0,0,0,0,0
AbstractPerformanceEvaluator.java,2,0,0,1,0,0,0,0,1,0,0,0,0
Data2Performance.java,0,2,0,0,0,0,0,0,0,0,0,0,0
InputPortExtender.java,0,0,0,0,0,0,0,0,0,1,0,0,0
PortPairExtender.java,0,0,0,0,0,0,0,0,0,1,0,0,0
GeneratePredictionOperator.java,0,0,0,1,0,0,0,0,0,0,0,0,0
GeneratePredictionRankingOperator.java,0,0,0,2,0,0,0,0,0,0,0,0,0
RecallChooser.java,0,0,0,1,0,0,0,0,0,0,0,0,0
SimpleUncertainPredictionsTransformation.java,0,0,0,1,0,0,0,0,0,0,0,0,0
ThresholdApplier.java,0,0,0,1,0,0,0,0,0,0,0,0,0
ThresholdFinder.java,0,0,0,1,0,0,0,0,0,0,0,0,0
GroupByOperator.java,0,0,0,0,0,0,0,1,0,0,0,0,0
IOTablePreprocessingOperator.java,0,0,1,0,0,0,0,0,0,0,0,0,0
ExampleSet2Similarity.java,0,0,0,0,0,0,0,0,0,0,1,0,0
ExampleSet2SimilarityExampleSet.java,0,0,0,0,0,0,0,0,0,0,1,0,0
Data2Log.java,0,0,0,0,0,0,0,1,0,0,0,1,0
LiftChartGenerator.java,0,0,0,1,0,0,0,0,0,0,0,0,0
LiftParetoChartGenerator.java,1,0,0,1,0,0,0,0,0,0,0,0,0
ROCBasedComparisonOperator.java,0,0,0,0,0,0,0,0,1,0,0,0,0
ROCChartGenerator.java,1,0,0,1,0,0,0,0,0,0,0,0,0
AbstractClusterer.java,1,0,0,0,0,0,0,0,0,0,0,0,0
AgglomerativeClustering.java,0,0,0,0,0,0,0,0,1,0,1,0,0
